Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Graduates - Parchments Awarded by Sector and Institution ,Approved Credential Program Completions in Alberta's Publicly funded post secondary system by Sector and Institution.,"Thursday, February 20, 2014 - 14:33",,Innovation and Advanced Education,"Parchments, Completers, Enrolment, Graduates, Sector, Institution, Credential, Program, Publicly, Funded, Post Secondary",Dataset Management System: Published,Approved Credential Program Completions in Alberta's Publicly funded post secondary system by Sector and Institution,Innovation and Advanced Education,"Sunday, January 1, 2006 - Saturday, December 31, 2011",,English,Education and Training,Annually,LERS NotablesCampus Alberta Planning Resource 2012IAE Open Data,http://eae.alberta.ca/media/344110/lers_notables.pdfhttp://iae.alberta.ca/media/398287/capr2012fulltext.pdfhttps://data.iae.alberta.ca/,Program completions in PARCHMENT programs (ministerially approved credentials) by sector and institution. The Banff Centre enrolments are NOT included in this table. Additional information related to LERS can be found here: http://eae.alberta.ca/media/344110/lers_notables.pdf,Tom Roach,Tom.Roach@gov.ab.ca,+1 (780) 638-3810,DownloadDownloadDownloadDownload,Graduates - Parchments Awarded by Sector and InstitutionGraduates - Parchments Awarded by Sector and InstitutionGraduates - Parchments Awarded by Sector and InstitutionGraduates - Parchments Awarded by Sector and Institution,https://data.iae.alberta.ca/api/views/pzik-6jq6/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/pzik-6jq6/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/pzik-6jq6/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/pzik-6jq6/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Graduates - Parchments Awarded by CIP,"Approved Credential Program Completions in Alberta's Publicly funded post secondary system by CIP Code
","Thursday, February 20, 2014 - 14:36",,Innovation and Advanced Education,"Parchments, Completers, Enrolment, CIP, Publicly, Funded, Post Secondary",Dataset Management System: Published,Approved Credential Program Completions in Alberta's Publicly funded post secondary system by Program Content,Innovation and Advanced Education,"Sunday, January 1, 2006 - Saturday, December 31, 2011",,English,Education and Training,Annually,LERS NotablesCampus Alberta Planning Resource 2012IAE Open Data,http://eae.alberta.ca/media/344110/lers_notables.pdfhttp://iae.alberta.ca/media/398287/capr2012fulltext.pdfhttps://data.iae.alberta.ca/,"Program completions in PARCHMENT programs (ministerially approved credentials).The Banff Centre enrolments are NOT included in this table. CIP Codes are related to the Classification of Instructional Programming codes, and allow to group programming based on similar content).Additional information related to LERS can be found here: http://eae.alberta.ca/media/344110/lers_notables.pdf ",Tom Roach,Tom.Roach@gov.ab.ca,+1 (780) 638-3810,DownloadDownloadDownloadDownload,Graduates - Parchments by CIPGraduates - Parchments by CIPGraduates - Parchments by CIPGraduates - Parchments by CIP,https://data.iae.alberta.ca/api/views/c3rh-mh3r/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/c3rh-mh3r/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/c3rh-mh3r/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/c3rh-mh3r/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Graduates - Parchments Awarded by Credential Type ,"Approved Credential Program Completions in Alberta's Publicly funded post secondary system by Credential Type
","Thursday, February 20, 2014 - 14:37",,Innovation and Advanced Education,"Parchments, Completers, Enrolment, Credential, Program, Publicly, Funded, Post, Secondary",Dataset Management System: Published,Approved Credential Program Completions in Alberta's Publicly funded post secondary system by Credential Type,Innovation and Advanced Education,"Sunday, January 1, 2006 - Saturday, December 31, 2011",,English,Education and Training,Annually,LERS NotablesCampus Alberta Planning Resource 2012IAE Open Data,http://eae.alberta.ca/media/344110/lers_notables.pdfhttp://iae.alberta.ca/media/398287/capr2012fulltext.pdfhttps://data.iae.alberta.ca/,Program completions in PARCHMENT programs (ministerially approved credentials) by credential type.The Banff Centre enrolments are NOT included in this table.Additional information related to LERS can be found here: http://eae.alberta.ca/media/344110/lers_notables.pdf ,Tom Roach,Tom.Roach@gov.ab.ca,+1 (780) 638-3810,DownloadDownloadDownloadDownload,Graduates - Parchments by Credential TypeGraduates - Parchments by Credential TypeGraduates - Parchments by Credential TypeGraduates - Parchments by Credential Type,https://data.iae.alberta.ca/api/views/gqqx-vrbz/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/gqqx-vrbz/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/gqqx-vrbz/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/gqqx-vrbz/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Enrolments - FLE Enrolment by CIP ,"FLE Enrolment in Alberta's Publicly funded post secondary system by CIP code
","Thursday, February 20, 2014 - 14:38",,Innovation and Advanced Education,"FLE, Enrolment, Programs, CIP, Publicly, Funded, Post, Secondary",Dataset Management System: Published,Full Load Equivalent (FLE) Enrolment in Alberta's Publicly funded post secondary system by CIP code,Innovation and Advanced Education,"Sunday, January 1, 2006 - Saturday, December 31, 2011",,English,Education and Training,Annually,LERS NotablesCampus Alberta Planning Resource 2012IAE Open Data,http://eae.alberta.ca/media/344110/lers_notables.pdfhttp://iae.alberta.ca/media/398287/capr2012fulltext.pdfhttps://data.iae.alberta.ca/,"Enrolments are represented in full load equivalent (FLE).FLE is a unit of measure of enrolment in which one FLE represents one student taking a course load that is considered to be the “full load” for the program usually taken in the Fall and Winter sessions.The Banff Centre enrolments ARE included in this table. CIP Codes are related to the Classification of Instructional Programming codes, and allow to group programming based on similar content).Additional information related to LERS can be found here: http://eae.alberta.ca/media/344110/lers_notables.pdf ",Tom Roach,Tom.Roach@gov.ab.ca,+1 (780) 638-3810,DownloadDownloadDownloadDownload,Enrolments - FLE by CIPEnrolments - FLE by CIPEnrolments - FLE by CIPEnrolments - FLE by CIP,https://data.iae.alberta.ca/api/views/bb35-6gcg/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/bb35-6gcg/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/bb35-6gcg/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/bb35-6gcg/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Enrolments - FLE Enrolment by Sector and Institution ,FLE Enrolment in Alberta's Publicly funded post secondary system by Sector and Institution,"Thursday, February 20, 2014 - 14:40",,Innovation and Advanced Education,"FLE, Enrolment, Publicly, Funded, Post, Secondary, Sector, Institution",Dataset Management System: Published,Full Load Equivalent (FLE) Enrolment in Alberta's Publicly funded post secondary system by Sector and Institution,Innovation and Advanced Education,"Monday, January 1, 2007 - Monday, December 31, 2012",,English,Education and Training,Annually,LERS NotablesCampus Alberta Planning Resource 2012IAE Open Data,http://eae.alberta.ca/media/344110/lers_notables.pdfhttp://iae.alberta.ca/media/398287/capr2012fulltext.pdfhttps://data.iae.alberta.ca/,Enrolments are represented in full load equivalent (FLE).FLE is a unit of measure of enrolment in which one FLE represents one student taking a course load that is considered to be the “full load” for the program usually taken in the Fall and Winter sessions.The Banff Centre enrolments ARE included in this table.Additional information related to LERS can be found here:http://eae.alberta.ca/media/344110/lers_notables.pdf,Tom Roach,Tom.Roach@gov.ab.ca,+1 (780) 638-3810,DownloadDownloadDownloadDownload,Enrolments - FLE Enrolment by Sector and InstitutionEnrolments - FLE Enrolment by Sector and InstitutionEnrolments - FLE Enrolment by Sector and InstitutionEnrolments - FLE Enrolment by Sector and Institution,https://data.iae.alberta.ca/api/views/56jq-8u7b/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/56jq-8u7b/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/56jq-8u7b/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/56jq-8u7b/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Children and Youth Receiving Child Intervention Services by Type of Care with a Breakdown by Aboriginal/non-Aboriginal,"Child intervention services are focused on the safety and well-being of children, supporting families to be healthy, and ensuring children grow up in safe and nurturing homes. When parents are unable or unwilling to ensure the safety and well-being...","Monday, June 30, 2014 - 14:33",,Human Services,"Children, Youth, Intervention, Services, Aboriginal, Non-Aboriginal, Temporary Care, Permanent Care, Not In Care",Dataset Management System: Published,,Human Services,"Tuesday, April 1, 2008 - Sunday, March 31, 2013",,English,Child and Family,Annually,,,Please see the associated Alberta Official Statistics product for a complete list of usage considerations.  This can be accessed by clicking on the distribution link at the top of the page.,,OSI.Support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1248,CSV
Children and Youth Receiving Child Intervention Services by Type of Care and Age Group,"Child intervention services are focused on the safety and well-being of children, supporting families to be healthy, and ensuring children grow up in safe and nurturing homes. When parents are unable or unwilling to ensure the safety and well-being...","Monday, June 30, 2014 - 14:34",,Human Services,"Children, Youth, Intervention, Services, Age Group, Temporary Care, Permanent Care, Not in Care, Families",Dataset Management System: Published,,Human Services,"Tuesday, April 1, 2008 - Sunday, March 31, 2013",,English,Child and Family,Annually,,,Please see the associated Alberta Official Statistics product for a complete list of usage considerations.  This can be accessed by clicking on the distribution link at the top of the page.,,OSI.Support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1244,CSV
Children and Youth Receiving Child Intervention Services by Type of Care and Service Delivery Area,"Child Intervention services focus on the safety and well-being of children, supporting families to be healthy, and ensuring children grow up in safe and nurturing homes. When parents are unable or unwilling to ensure the well-being of their children...","Monday, June 30, 2014 - 14:35",,Human Services,"Children, Youth, Intervention, Services, DFNA, CFSA, Temporary Care, Not in Care, Permanent Care",Dataset Management System: Published,,Human Services,"Tuesday, April 1, 2008 - Sunday, March 31, 2013",,English,Child and Family,Annually,,,Please see the associated Alberta Official Statistics product for a complete list of usage considerations.  This can be accessed by clicking on the distribution link at the top of the page.,,OSI.Support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1240,CSV
Children and Youth Receiving Child Intervention Services by Type of Care and Sex,"Child intervention services are focused on the safety and well-being of children, supporting families to be healthy, and ensuring children grow up in safe and nurturing homes. When parents are unable or unwilling to ensure the safety and well-being...","Monday, June 30, 2014 - 14:36",,Human Services,"Children, Youth, Intervention, Services, Sex, Temporary Care, Permanent Care, Not In Care",Dataset Management System: Published,,Human Services,"Tuesday, April 1, 2008 - Sunday, March 31, 2013",,English,Child and Family,Annually,,,Please see the associated Alberta Official Statistics product for a complete list of usage considerations.  This can be accessed by clicking on the distribution link at the top of the page.,,OSI.Support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1243,CSV
Children and Youth In Care by Placement Type with a Breakdown by Aboriginal/non-Aboriginal,"Child Intervention services are focused on the safety and well-being of children, supporting families to be healthy, and ensuring children grow up in safe and nurturing homes. When parents are unable or unwilling to ensure the safety and well-being...","Monday, June 30, 2014 - 14:37",,Human Services,"Children, Youth, Intervention, Services, Aboriginal, non-Aboriginal, Placement, Foster Care, Kinship Care, Group Care, Treatment Care, Parental Care, Independent Living, Permanency Placement, In Care, Family Care",Dataset Management System: Published,,Human Services,"Tuesday, April 1, 2008 - Sunday, March 31, 2013",,English,Child and Family,Annually,,,Please see the associated Alberta Official Statistics product for a complete list of usage considerations.  This can be accessed by clicking on the distribution link at the top of the page.,,OSI.Support@gov.ab.ca,,Link,Alberta Official Statistics,https://osi.alberta.ca/osi-content/Pages/OfficialStatistic.aspx?ipid=1260,CSV
